name	ratings	date	helpful	comment
luv me	3	2021-05-20	17	배달이 오토바이이면 너무 좋은데 자동차일때는 진짜 별로에요 자동차로 배정만 되면 너무 스트레스 ㅜㅜ 자동차배달만 아니면 사실 백점인데 이걸 어떻게 건의해야 하나 싶어서 별점으로 남깁니다.
성수인	3	2021-06-07	71	"처음에는 배민보다 빠르고 위치도 쉽게 확인할 수 있다는 점에서 쓰기 시작했는데, 사용할수록 안 좋은 점이 보이네요 특히 바뀐 이후로 가격에 따라 달라지는 배달비를 그냥 무료라고 표시할 수 있게 되어서 무료인 줄 알고 고르고 있었는데 나중에 자세히 보니 얼마 이상이어야만 무료이더라고요 처음에는 그러려니 했는데 일일이 배달비 자세히보기를 클릭하고 확인하는 게 너무 번거롭네요 반면 배민은 가게를 고를 때부터 배달비가 표시되어 있어서 예전처럼 다시 바뀌면 좋을 것 같아요"
성지현	1	2021-06-07	6	"쿠팡이츠 절대 사용하지마세요. 빠르다고해서 첫주문해봤는데 오배송..배달원에게 바로 전화했더니, 근처니까 저한테 직접 가져가시라함.. ( 이하내용은 생략하겠습니다...)"
Daylight	1	2021-05-31	4	쿠팡은 배달이 너무 느려요 네비게이션 업데이트도 안되어있는건지 라이더가 다른곳 우회해서 오고 답답... 10분거리를 30분만에 받았네요 음식은 다 식고 기다리다 지쳤어요 다시는 쿠팡에서 안시켜요
한TI	1	2021-05-29	15	아니 1인 1배달이 원칙 이라면서요? 배달시킨지 한참이 지나도 안와 보니까 직선으로 오는 거리를 이상하게 베베 꽈서 오길래 배달원 와서 따져보니까 실토하네요? 2개 묶어서 왔다고. 편법이 있는거 같은데 이런적이 한 두번이 아니네요. 이츠쓸 이유가 없죠 이러면..
신명철	2	2021-06-08	0	별로에요 짜증날정도로 알림이 많네요 리뷰써라 장바구니에 뭐있다 주문완료해라등등 어쩌구저쩌구 좋았던 이미지도 확 나빠집니다
박옥숙	5	2021-06-01	12	쿠팡과 연동이 되어서 사용이 정말 편리합니다. 음식점이나 메뉴를 찜해 놓을 수 있으면 더욱 편리할텐데 하는 생각이 들어요.
천련	5	2021-05-31	4	인터페이스가 깔끔하게 잘정돈된듯하면서도 뭔가 눈에확 와닿지않고 뭔가 눌러서 사용하기에 불편하고 답답한느낌이 아쉽네요
멍깜야꼬	1	2021-06-01	9	쿠팡이츠 라이더앱 깔아보니까 이게 왜 제대로 운영이 안되는지 알것 같음 한번 배달비가 2400원까지 떨어지던데.. 그돈받고 누가 일해요 콜이 많은것도 아닌데 콜받고 매장가서 기다리다가 배달가면 30분은 소요 될텐데 시급 5000원도 안됨ㅋㅋ
hk L	4	2021-06-08	73	저는 배달지연 아직까지는 경험해본적 없고요. 항상 빨리왔습니다. 한번은 몇분이 늘어나던데 그래도 도착시간 안에는 왔어요. 리뷰나 실물사진이 많이 없어서 아쉽긴한데.. 암튼 요새 쿠팡이츠 잘 사용중입니다.
